ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(�/s),Angular velocity Y(�/s),Angular velocity Z(�/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(�),Angle Y(�),Angle Z(�)
01:22:14.452,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.484,eb:33:2e:f9:57:b5,,0.119629,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.538,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.567,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.596,eb:33:2e:f9:57:b5,,0.119629,-0.080566,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.627,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.982422,,0.061035,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.659,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.707,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.772,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.804,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.982422,,0.061035,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.835,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.897,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:14.914,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981445,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.186,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.186,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.98291,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.199,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.211,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.98291,,,-0.12207,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.215,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.98291,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.215,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.250,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.250,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.279,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.311,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.983398,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.358,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.390,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.12207,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.439,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,-0.061035,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.482,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.526,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.582,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981445,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.614,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.648,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.709,eb:33:2e:f9:57:b5,,0.119141,-0.079102,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.741,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981445,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.239
01:22:15.773,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.982422,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:15.804,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,0.061035,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:15.837,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,-0.061035,0.061035,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:15.896,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:15.917,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.98291,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:15.997,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.037,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.981934,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.068,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.106,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.139,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.982422,,0.061035,-0.12207,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.173,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981445,-0.061035,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.203,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,-0.061035,,-0.305176,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.270,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.982422,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.311,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981445,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.335,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.378,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.98291,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.410,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.441,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.488,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.525,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.981445,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.552,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.602,eb:33:2e:f9:57:b5,,0.118164,-0.07959,0.98291,,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.664,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,-0.061035,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.694,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.983398,,0.061035,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.733,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.773,eb:33:2e:f9:57:b5,,0.119629,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.805,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.855,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.901,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,-0.061035,,-0.244141,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.933,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,-0.061035,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:16.979,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.239
01:22:17.011,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.244
01:22:17.059,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.981934,,0.061035,-0.183105,,,,,,,-3.96606,-7.80029,-125.244
01:22:17.091,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.244
01:22:17.134,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.98291,,,-0.183105,,,,,,,-3.96606,-7.80029,-125.244
